stat_id,height,lat,lon,date_start,date_end,locale
455,35,52.55,7.9508,19710101,20061231,Bersenbrück
456,134,51.9542,10.7568,19650423,20061231,Berßel
457,342,51.0563,14.229,19481001,20091231,Berthelsdorf
459,285,50.8871,14.7364,19920401,20061231,Bertsdorf
461,3,53.1833,7.3,19710101,19841231,Beschotenweg
462,16,54.05,9.35,19410101,20061231,Besdorf
463,330,51.3718,8.4307,19680902,20061231,Bestwig-Nuttlar
464,78,51.6723,13.0002,19861101,20041231,Bethau
466,501,49.68,11.4172,19970401,20051231,Betzenstein
469,32,53.0833,10.5667,19410101,19901231,"Bevensen, Bad"
470,101,51.6709,9.3756,19310101,20061231,Beverungen
471,415,49.3853,7.2692,19840725,20041231,Bexbach-Höchen
472,58,52.0483,11.6413,19530301,20021231,Beyendorf-Sohlen
473,200,51.4526,11.3969,19380101,20021231,Sotterhausen
474,538,48.1108,9.8039,19580701,19870228,Warthausen-Birkenhard
478,223,50.1607,9.3342,19710301,20041231,Biebergemünd-Bieber
484,99,52.0358,8.5637,19960314,19991231,Bielefeld (Stadtreinigungsamt )
485,96,52.0439,8.6368,19630501,19951231,Bielefeld-Altenhagen
486,155,51.9833,8.5167,19820701,20071231,Bielefeld-Brackwede
487,250,51.9836,8.554,19360301,20061031,Bielefeld-Senne
489,79,51.7504,11.8532,19600101,19981231,Biendorf
491,210,49.35,9.5333,19561001,19730228,Bieringen
492,210,51.6054,11.3855,19650114,20021231,Biesenrode
493,121,51.9622,7.3073,19820910,20071231,Billerbeck
494,630,48.1135,9.2756,19670401,20041231,"Bingen, Kreis Sigmaringen"
495,82,49.9453,7.9019,19761001,20011231,Bingen-Büdesheim
497,512,49.4553,11.5975,19880801,20051231,Birgland-Fürnried
499,357,48.45,13.0833,18990101,19290331,Bad Birnbach
500,340,50.3824,9.302,19850601,20041231,Birstein-Fischborn
501,739,50.5296,10.0485,19520801,,Birx
502,411,49.8745,9.4881,19670801,19950630,Bischbrunn
503,257,51.0938,14.7425,19640501,20040630,Rosenbach-Bischdorf
505,332,51.4268,10.0932,19800801,20060930,Bischhagen
506,235,51.0537,10.3659,19661101,19991231,Bischofroda
507,275,51.4876,11.5339,19720601,20011231,Bischofrode
511,684,48.9184,13.0795,19511001,20051231,Bischofsmais
512,300,51.1346,14.1904,19881101,20021231,Bischofswerda
513,703,47.6458,12.9567,19880601,19911031,Bischofswiesen
514,592,47.6141,12.947,19680601,20051231,Bischofswiesen-Engedey
517,52,52.6625,11.5541,18870101,19531130,Bismark
519,116,53.166,9.9638,19700701,20020630,Bispingen-Wilsede
520,180,52.2105,8.1938,19640401,20031231,Bissendorf-Holte-Sünsbeck
525,854,48.2435,9.1007,19820801,20060531,Bitz
528,42,52.3333,13.4,19761116,19911231,Blankenfelde
530,365,50.8591,11.3422,19460501,19790520,Blankenhain
531,310,50.8107,12.3082,19050410,19970902,Crimmitschau-Blankenhain
536,480,50.3991,11.6919,19140101,20061231,Blankenstein
538,450,49.3,9.9667,19800106,20031231,Blaufelden
539,465,49.312,10.0905,19800801,20020402,Blaufelden-Gammesfeld
